IdV;Modele;Type;Puissance;Poids
83DD8T;Mazda 3;Voiture;20;0
KPN1HG;Renault Clio;Voiture;18;0
T389YY;Mini Countryman;Voiture;17;0
DEWK2A;Audi A1 Quattro;Voiture;25;0
YRY3S2;Audi A1 Quattro;Voiture;25;0
BA251N;Peugeot 3008 II;Voiture;23;0
KBK25H;BMW M2;Voiture;30;0
KWPPQT;Renault Clio;Voiture;18;0
0FO03J;Mazda 3;Voiture;20;0
U7GRKR;Mini Countryman;Voiture;17;0
X8BCTT;BMW M2;Voiture;30;0
QHCN6X;Renault Clio;Voiture;18;0
TS50VU;Mazda 3;Voiture;20;0
M5WJZN;BMW M2;Voiture;30;0
IGK7CS;BMW M2;Voiture;30;0
PMMF4B;Mazda 3;Voiture;20;0
E85WSM;Renault Clio;Voiture;18;0
OMDOZ9;BMW M2;Voiture;30;0
QCF5EU;BMW M2;Voiture;30;0
8GF83F;Mazda 3;Voiture;20;0
I0F56N;Audi A1 Quattro;Voiture;27;0
IO3715;Audi A1 Quattro;Voiture;27;0
YJEWX6;Mazda 3;Voiture;20;0
TSTRBY;Renault Clio;Voiture;18;0
NXN6SP;Peugeot 3008 II;Voiture;23;0
IXJPTE;Renault Clio;Voiture;18;0
7UWZUC;Mazda 3;Voiture;20;0
R64NLB;Mazda 3;Voiture;20;0
PPT6E3;BMW M2;Voiture;30;0
5U7VYF;Mini Countryman;Voiture;17;0
MT5J49;Renault Clio;Voiture;18;0
LFWSZ8;Dacia Lodgy;Voiture;21;0
22YGXI;Renault Captur;Voiture;22;0
